세부사업명,내역사업명,연구개발과제번호,연구개발과제명,총연구개발기간,연구기관역할명,연구기관명, 총 연구개발비 , 24년도 연구개발비 
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120080,주요 식물 바이러스 전파과정의 바이러스-매개충-중간기주 등 상호관계 규명 및 확산 억제 기술 개발,2020-04-29~2024-12-31,주관연구개발기관,전북대학교산학협력단,673883000,104133000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120080,주요 식물 바이러스 전파과정의 바이러스-매개충-중간기주 등 상호관계 규명 및 확산 억제 기술 개발,2020-04-29~2024-12-31,공동연구개발기관,서울대학교 산학협력단,401155000,61155000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120080,주요 식물 바이러스 전파과정의 바이러스-매개충-중간기주 등 상호관계 규명 및 확산 억제 기술 개발,2020-04-29~2024-12-31,공동연구개발기관,전북대학교산학협력단,416500000,0
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120080,주요 식물 바이러스 전파과정의 바이러스-매개충-중간기주 등 상호관계 규명 및 확산 억제 기술 개발,2020-04-29~2024-12-31,공동연구개발기관,전라북도농업기술원,223975000,33975000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120080,주요 식물 바이러스 전파과정의 바이러스-매개충-중간기주 등 상호관계 규명 및 확산 억제 기술 개발,2020-04-29~2024-12-31,합계,위탁연구개발기관 제외 합계,1715513000,199263000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120081,식물기생선충 라이브러리 구축 및 친환경 방제기술 개발,2020-04-29~2024-12-31,주관연구개발기관,(주)남보,862207000,142257000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120081,식물기생선충 라이브러리 구축 및 친환경 방제기술 개발,2020-04-29~2024-12-31,공동연구개발기관,국립생태원,337000000,40000000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120081,식물기생선충 라이브러리 구축 및 친환경 방제기술 개발,2020-04-29~2024-12-31,공동연구개발기관,(재단)진주바이오산업진흥원,357000000,60000000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120081,식물기생선충 라이브러리 구축 및 친환경 방제기술 개발,2020-04-29~2024-12-31,합계,위탁연구개발기관 제외 합계,1556207000,242257000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120086,박과작물 노균병 방제를 위한 살균활성소재 제품화 및 정밀진단을 통한 병해 관리 시스템 개발,2020-04-29~2024-12-31,주관연구개발기관,충남대학교 산학협력단,604250000,90000000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120086,박과작물 노균병 방제를 위한 살균활성소재 제품화 및 정밀진단을 통한 병해 관리 시스템 개발,2020-04-29~2024-12-31,공동연구개발기관,충청남도농업기술원,312000000,47000000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120086,박과작물 노균병 방제를 위한 살균활성소재 제품화 및 정밀진단을 통한 병해 관리 시스템 개발,2020-04-29~2024-12-31,공동연구개발기관,영바이오랩,590250000,95250000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120086,박과작물 노균병 방제를 위한 살균활성소재 제품화 및 정밀진단을 통한 병해 관리 시스템 개발,2020-04-29~2024-12-31,공동연구개발기관,(주)이룸켐앤텍,95250000,95250000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120086,박과작물 노균병 방제를 위한 살균활성소재 제품화 및 정밀진단을 통한 병해 관리 시스템 개발,2020-04-29~2024-12-31,합계,위탁연구개발기관 제외 합계,1601750000,327500000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120087,십자화과 작물의 검은썩음병 방제제 기술개발,2020-04-29~2024-12-31,주관연구개발기관,한국생명공학연구원,848687000,138437000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120087,십자화과 작물의 검은썩음병 방제제 기술개발,2020-04-29~2024-12-31,공동연구개발기관,유한회사한터,798750000,0
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120087,십자화과 작물의 검은썩음병 방제제 기술개발,2020-04-29~2024-12-31,공동연구개발기관,한터,0,0
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120087,십자화과 작물의 검은썩음병 방제제 기술개발,2020-04-29~2024-12-31,공동연구개발기관,태리온주식회사,139479000,139479000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120087,십자화과 작물의 검은썩음병 방제제 기술개발,2020-04-29~2024-12-31,합계,위탁연구개발기관 제외 합계,1786916000,277916000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120088,과실 썩음병 세균 병원성의 분석을 통한 신규 방제제 기술개발,2020-04-29~2024-12-31,주관연구개발기관,강원대학교 산학협력단,564287000,94037000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120088,과실 썩음병 세균 병원성의 분석을 통한 신규 방제제 기술개발,2020-04-29~2024-12-31,공동연구개발기관,(재)철원플라즈마산업기술연구원,420000000,50000000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120088,과실 썩음병 세균 병원성의 분석을 통한 신규 방제제 기술개발,2020-04-29~2024-12-31,공동연구개발기관,농업회사법인 주식회사 더기반,473492000,85870000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP120088,과실 썩음병 세균 병원성의 분석을 통한 신규 방제제 기술개발,2020-04-29~2024-12-31,합계,위탁연구개발기관 제외 합계,1457779000,229907000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP320036,붉은곰팡이병의 생태환경적 발병메커니즘 규명 및 친환경 생물학적 방제제 개발,2020-04-29~2024-12-31,주관연구개발기관,숭실대학교 산학협력단,818587000,128437000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP320036,붉은곰팡이병의 생태환경적 발병메커니즘 규명 및 친환경 생물학적 방제제 개발,2020-04-29~2024-12-31,공동연구개발기관,전남대학교 산학협력단,673500000,80000000
작물바이러스및병해충대응산업화기술개발(RnD),방제기술개발,RS-2020-IP320036,붉은곰팡이병의 생태환경적 발병메커니즘 규명 및 친환경 생물학적 방제제 개발,2020-04-29~2024-12-31,공동연구개발기관,(주)잰153바이오텍,26700000,26700000
