암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQwMyQ0NjE0ODEjNTEjJDEjJDYjJDgz,(사)대한결핵협회전북특별자치도지부 복십자의원,31,의원,350000,전북,350402,전주덕진구,우아동3가,54909,"전북특별자치도 전주시 덕진구 백제대로 789, (우아동3가, 복십자의원)",243-2724,,1983-04-11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1548587,35.8476997
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,(사)대한산업보건협회 전북지역본부 전북의원,31,의원,350000,전북,350402,전주덕진구,여의동,54850,"전북특별자치도 전주시 덕진구 기린대로 1030, (여의동)",063-225-1242,,1989-06-03,6,0,0,0,6,0,0,0,0,0,0,0,0,0,127.0738726,35.8683951
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQwMyQzNjE4MzIjNjEjJDEjJDQjJDgz,(사)인구보건복지협회전북지회가족보건의원,31,의원,350000,전북,350402,전주덕진구,인후동2가,54916,"전북특별자치도 전주시 덕진구 백제대로 722, (인후동2가)",063-240-2345,,1974-01-16,5,1,0,0,4,0,0,0,0,0,0,0,0,0,127.1481155,35.8448419
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzQxIyQxIyQ3IyQ4MiQyNjEyMjIjNjEjJDEjJDAjJDgz,(사)인구보건복지협회전북지회가족치과의원,51,치과의원,350000,전북,350402,전주덕진구,인후동2가,54916,"전북특별자치도 전주시 덕진구 백제대로 722, 3층 (인후동2가)",063-240-2333,,2007-11-23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.1481155,35.8448419
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzUxIyQxIyQxIyQwMyQyNjE0ODEjODEjJDEjJDYjJDgz,(사)한국건강관리협회 건강치과의원,51,치과의원,350000,전북,350402,전주덕진구,덕진동1가,54893,"전북특별자치도 전주시 덕진구 사평로 40, 5층 (덕진동1가, 건강검진센터)",063-259-8896,,2013-05-02,2,0,0,0,0,2,0,0,0,0,0,0,0,0,127.1216255,35.8411572
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzMxIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,(사)한국건강관리협회건강증진의원,31,의원,350000,전북,350402,전주덕진구,덕진동1가,54893,"전북특별자치도 전주시 덕진구 사평로 40, (덕진동1가)",063-259-8900,,1982-12-10,23,3,0,0,20,0,0,0,0,0,0,0,0,0,127.1216255,35.8411572
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxMTkxIzExIyQxIyQzIyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz,(의)혜민의료재단 우리한방병원,92,한방병원,350000,전북,350600,김제시,신풍동,54393,"전북특별자치도 김제시 중앙로 209, (신풍동)",063-545-5511,,2006-01-06,2,0,0,0,0,0,0,0,0,2,0,0,0,0,126.8959871,35.7985051
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzIxIyQxIyQ1IyQ4OSQyNjEyMjIjNzEjJDEjJDgjJDgz,(재)원불교역전보화당한의원,93,한의원,350000,전북,350300,익산시,중앙동3가,54593,"전북특별자치도 익산시 중앙로5길 9, (중앙동3가)",063-855-4333,,1995-10-13,3,0,0,0,0,0,0,0,0,3,0,0,0,0,126.9504289,35.9398339
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzMxIyQxIyQzIyQ5MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,(재)원불교영등보화당한의원,93,한의원,350000,전북,350300,익산시,영등동,54637,"전북특별자치도 익산시 무왕로 1058, (영등동)",063-831-9229,,2003-12-06,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.9744467,35.9581779
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzIxIyQxIyQ1IyQ5MiQzNjEyMjIjNTEjJDEjJDYjJDgz,(재)원불교익산원광한의원,93,한의원,350000,전북,350300,익산시,신동,54535,"전북특별자치도 익산시 익산대로 463, (신동)",063-855-6086,,1984-03-09,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.9526647,35.9672487
